like_id,message_id
1929,221
1930,261
1931,255
1932,217
1933,365
1934,351
1935,229
1936,263
1937,405
1938,237
1939,263
1940,219
1941,385
1942,327
1943,313
1944,241
1945,245
1946,227
1947,359
1948,277
1949,383
1950,389
1951,237
1952,365
1953,361
1954,303
1955,361
1956,387
1957,287
1958,237
1959,211
1960,379
1961,361
1962,293
1963,223
1964,299
1965,223
1966,249
1967,391
1968,281
1969,323
1970,297
1971,371
1972,327
1973,401
1974,207
1975,285
1976,403
1977,233
1978,343
1979,301
1980,401
1981,229
1982,387
1983,297
1984,375
1985,299
1986,249
1987,381
1988,277
1989,337
1990,341
1991,293
1992,279
1993,397
1994,215
1995,327
1996,381
1997,401
1998,219
1999,321
2000,323
2001,401
2002,247
2003,267
2004,209
2005,283
2006,397
2007,349
2008,301
2009,267
2010,277
2011,297
2012,375
2013,383
2014,255
2015,349
2016,339
2017,369
2018,341
2019,213
2020,405
2021,293
2022,245
2023,211
2024,259
2025,207
2026,249
2027,327
2028,373
